OBJECTID,JURSCODE,GEOID20,POPULATION_TOTAL,CHILD_POPULATION_TOTAL,CHILD_POV_TOTAL,CHILD_POV_PCT,SCHOOL_BND_INT_TOTAL,SCHOOL_BND_INT_CPG_TOTAL,NOTES,CALC_SUM,CALC_PCT,Shape__Area,Shape__Length
704,MONT,24031700313,4121,947,0.0,0.0,6.0,,(+/-) 4.1,,,2798035.358065525,9012.474174551839
705,MONT,24031700726,3665,651,199.0,30.5,9.0,,(+/-) 26.6,,,645224.61425015,5665.883382098571
706,MONT,24031705602,4050,242,31.0,12.8,4.0,,(+/-) 19,,,227017.681039145,2172.8956952445387
707,MONT,24031701303,3539,710,0.0,0.0,9.0,,(+/-) 5.5,,,4280034.02835437,11298.900679954058
708,MONT,24031700206,5727,1339,0.0,0.0,9.0,,(+/-) 2.9,,,12795267.966350935,20238.37285018526
709,MONT,24031701409,4793,647,17.0,2.7,8.0,,(+/-) 3.2,,,6676421.084738435,11977.094076153646
710,MONT,24031700724,3546,833,254.0,30.5,11.0,1.0,(+/-) 23.6,,,823248.670670675,4577.959416114825
711,MONT,24031701206,6314,1637,0.0,0.0,15.0,,(+/-) 2.4,,,4940301.724900685,9706.170542816993
712,MONT,24031706011,5737,1436,10.0,0.7,10.0,,(+/-) 1.1,,,3799417.532792965,10017.494184178968
713,MONT,24031701703,3823,1058,28.0,2.6,7.0,1.0,(+/-) 4.4,,,1102766.440263945,5551.040034529253
714,MONT,24031700835,5098,1079,39.0,3.6,16.0,,(+/-) 4.7,,,5682463.45389001,10807.388271226013
715,MONT,24031701508,4002,1162,63.0,5.4,7.0,,(+/-) 6.1,,,915535.51302404,5191.14696075778
716,MONT,24031701307,5167,1637,85.0,5.2,14.0,,(+/-) 7.6,,,15534709.43241643,23601.317119780717
717,MONT,24031701503,6530,968,0.0,0.0,13.0,,(+/-) 4,,,4502370.281038855,10038.350118952521
718,MONT,24031700606,4081,932,2.0,0.2,13.0,,(+/-) 0.6,,,4691636.96342823,12403.75100210025
719,MONT,24031703207,6094,1764,194.0,11.0,9.0,,(+/-) 7.5,,,4019203.853996215,7914.063931739163
720,MONT,24031700902,4632,1114,123.0,11.0,10.0,,(+/-) 8,,,1718775.79646477,6139.29308648668
721,MONT,24031705702,4602,1144,0.0,0.0,7.0,,(+/-) 3.4,,,2602976.16207711,6886.1502519322385
722,MONT,24031705200,3310,838,26.0,3.1,4.0,,(+/-) 4.2,,,1819389.788684035,6928.687922315216
723,MONT,24031701102,5685,890,302.0,33.9,10.0,,(+/-) 28.7,,,2068245.052318545,6775.182584093371
724,MONT,24031704000,6877,1950,269.0,13.8,11.0,,(+/-) 11.3,,,2264804.406675695,7912.8196330559795
725,MONT,24031701422,2711,913,171.0,18.7,6.0,,(+/-) 12.9,,,323461.3132648,2353.6007337918422
726,MONT,24031703218,1922,0,,,3.0,,(+/-) **,,,616335.147584235,3543.527455266475
727,MONT,24031703222,4383,1418,322.0,22.7,8.0,,(+/-) 16.3,,,1627576.63320106,6969.665638398622
728,MONT,24031702102,3533,1054,0.0,0.0,6.0,,(+/-) 3.9,,,1656673.685572805,5118.782767179946
729,MONT,24031700830,2603,857,161.0,18.8,10.0,,(+/-) 20.3,,,1779947.458132645,5460.401537720944
730,MONT,24031703403,3580,841,74.0,8.8,11.0,1.0,(+/-) 7.2,,,1214457.566294405,5383.058519741252
731,MONT,24031700727,1760,400,95.0,23.8,5.0,,(+/-) 30.4,,,755706.204672125,3569.5385183372787
732,MONT,24031704502,2949,878,56.0,6.4,11.0,,(+/-) 7.8,,,2113664.315158945,7097.069268928653
733,MONT,24031700207,5302,1367,279.0,20.4,8.0,,(+/-) 14.8,,,5694116.74631255,11694.261042283997
734,MONT,24031700812,4503,1048,177.0,16.9,11.0,,(+/-) 14.5,,,1753919.30323546,6463.568025476943
735,MONT,24031703214,7827,2250,382.0,17.0,8.0,,(+/-) 14,,,1800833.698274535,5480.995027418424
736,MONT,24031700732,3277,736,127.0,17.3,10.0,1.0,(+/-) 22.2,,,1540204.96986434,7512.928380029583
737,MONT,24031701308,4168,910,0.0,0.0,13.0,,(+/-) 4.4,,,13772705.35925343,18132.219702828108
738,MONT,24031701314,2807,633,0.0,0.0,7.0,,(+/-) 6.1,,,1421096.92240138,5417.77333740747
739,MONT,24031704401,3384,762,12.0,1.6,7.0,,(+/-) 2.4,,,2265339.273253655,7581.014804790801
740,MONT,24031703219,3352,0,,,9.0,,(+/-) **,,,981697.73340913,5293.657046593906
741,MONT,24031701426,6429,1616,0.0,0.0,4.0,,(+/-) 2.4,,,4902902.51236691,13439.375831358102
742,MONT,24031700711,6643,1513,120.0,7.9,13.0,,(+/-) 6.3,,,4593588.652726365,9290.028451826893
743,MONT,24031705601,3094,935,0.0,0.0,7.0,,(+/-) 4.2,,,1185729.054842465,4824.318116656918
744,MONT,24031700826,6089,1279,59.0,4.6,6.0,,(+/-) 6.6,,,2097197.85466908,7309.9838084851235
745,MONT,24031700309,4939,1163,155.0,13.3,7.0,,(+/-) 10.5,,,2330341.192311295,6439.651845217532
746,MONT,24031700720,3562,777,49.0,6.3,12.0,,(+/-) 10.2,,,1531190.006875715,6637.318044777001
747,MONT,24031700824,2728,691,0.0,0.0,5.0,,(+/-) 5.7,,,953798.89022985,4198.169709263441
748,MONT,24031701701,3726,858,53.0,6.2,5.0,1.0,(+/-) 6.1,,,914379.89202292,6160.2840784581695
749,MONT,24031700103,5318,830,2.0,0.2,17.0,,(+/-) 0.4,,,70569408.25878564,50514.09796118411
750,MONT,24031701601,2205,590,116.0,19.7,5.0,,(+/-) 12.2,,,301642.539942955,3218.654644299429
751,MONT,24031703302,4669,1150,81.0,7.0,10.0,1.0,(+/-) 7,,,1675792.965274655,7053.834790625059
